system:index,dong,grid_id,gu,mean,.geo
000000000000000007cd,구산동,G_2146,은평구,277.30905278,"{""type"":""Point"",""coordinates"":[126.90452664131784,37.61125991931892]}"
000000000000000007ce,구산동,G_2147,은평구,276.09052865,"{""type"":""Point"",""coordinates"":[126.91002917201781,37.61125991931891]}"
000000000000000007cf,구산동,G_2148,은평구,276.02045924000004,"{""type"":""Point"",""coordinates"":[126.9155272436167,37.611259919318904]}"
000000000000000007f4,구산동,G_2187,은평구,275.48041208,"{""type"":""Point"",""coordinates"":[126.90452664131784,37.615759152281846]}"
00000000000000000782,녹번동,G_2065,은평구,275.97260696,"{""type"":""Point"",""coordinates"":[126.92102977431666,37.602261453393055]}"
00000000000000000784,녹번동,G_2067,은평구,277.11935267,"{""type"":""Point"",""coordinates"":[126.93203037661551,37.602261453393055]}"
00000000000000000785,녹번동,G_2068,은평구,274.31486725999997,"{""type"":""Point"",""coordinates"":[126.9375284482144,37.602261453393055]}"
000000000000000007aa,녹번동,G_2109,은평구,276.70406324,"{""type"":""Point"",""coordinates"":[126.92652784591554,37.60676068635599]}"
000000000000000007ab,녹번동,G_2110,은평구,276.77071463,"{""type"":""Point"",""coordinates"":[126.93203037661551,37.60676068635598]}"
000000000000000007ac,녹번동,G_2111,은평구,274.23283478,"{""type"":""Point"",""coordinates"":[126.9375284482144,37.60676068635598]}"
000000000000000007ad,녹번동,G_2112,은평구,272.80239341000004,"{""type"":""Point"",""coordinates"":[126.94302651981332,37.60676068635598]}"
000000000000000007d0,대조동,G_2149,은평구,275.77948883,"{""type"":""Point"",""coordinates"":[126.92102977431666,37.611259919318904]}"
000000000000000007d1,대조동,G_2150,은평구,275.95209883999996,"{""type"":""Point"",""coordinates"":[126.92652784591554,37.61125991931892]}"
000000000000000007f7,대조동,G_2190,은평구,277.29879872000004,"{""type"":""Point"",""coordinates"":[126.92102977431666,37.61575915228184]}"
000000000000000007d2,불광1동,G_2151,은평구,276.26313866,"{""type"":""Point"",""coordinates"":[126.93203037661551,37.61125991931891]}"
000000000000000007d3,불광1동,G_2152,은평구,275.97089795,"{""type"":""Point"",""coordinates"":[126.9375284482144,37.61125991931892]}"
000000000000000007d4,불광1동,G_2153,은평구,276.86300116999996,"{""type"":""Point"",""coordinates"":[126.94302651981332,37.61125991931891]}"
000000000000000007d5,불광1동,G_2154,은평구,274.57463678,"{""type"":""Point"",""coordinates"":[126.94852905051324,37.61125991931891]}"
000000000000000007f8,불광1동,G_2191,은평구,277.02535712,"{""type"":""Point"",""coordinates"":[126.92652784591554,37.615759152281846]}"
000000000000000007f9,불광1동,G_2192,은평구,276.63228482,"{""type"":""Point"",""coordinates"":[126.93203037661551,37.615759152281846]}"
