도로폭,시점,Latitude,Longitude,종점,Latitude,Longitude
7,자양동 640-1,37.5296517,127.0786684,자양동 670-0,37.5285792,127.0834469
7,자양동 636-5,37.5315056,127.0807601,자양동 642-4,37.5283688,127.0792629
8,자양동 653-34,37.5315998,127.0823202,자양동 617-3,37.5334348,127.0806715
7,자양동 670-0,37.5285792,127.0834469,자양동 673-0,37.5284368,127.08591
9,자양동 652-33,37.5313017,127.0823641,자양동 671-0,37.5280005,127.0835706
6,자양동 660-16,37.5323506,127.0834466,자양동 617-36,37.532695,127.0798109
6,자양동 661-20,37.5319241,127.0837876,자양동 624-45,37.534546,127.0818111
7,자양동 663-21,37.5309059,127.0841536,자양동 650-6,37.5298767,127.0825684
7,자양동 662-12,37.5311675,127.0830972,자양동 670-0,37.5285792,127.0834469
6,자양동 659-32,37.5320535,127.0841249,자양동 612-60,37.5358769,127.0826543
6,자양동 681-5,37.5326831,127.086312,자양동 685-44,37.5321432,127.0869643
7,자양동 682-29,37.5331149,127.0875173,자양동 692-0,37.5307405,127.0897285
7,자양동 683-9,37.5334298,127.0885454,자양동 813-0,37.5300164,127.0897927
9,자양동 694-2,37.5336499,127.0896854,자양동 813-0,37.5300164,127.0897927
4,구의동 592-24,37.5347582,127.0907615,구의동 591-3,37.5352966,127.0899565
7,구의동 593-19,37.5344948,127.0911892,구의동 587-58,37.5360262,127.0912192
7,중곡동 192-1,37.5665494,127.0814057,중곡동 191-1,37.5673146,127.0792081
7,중곡동 170-25,37.5677519,127.0824705,중곡동 170-2,37.5677884,127.0836766
6,중곡동 175-27,37.5686345,127.0825936,중곡동 175-106,37.5691699,127.0818302
4,중곡동 211-24,37.5691358,127.0827871,중곡동 175-31,37.5688634,127.081861
5,중곡동 199-27,37.5696241,127.0832424,중곡동 196-9,37.5694528,127.0842021
8,중곡동 210-1,37.5703043,127.0830469,중곡동 578-3,37.5705702,127.0807772
4,군자동 48-24,37.5543277,127.0748064,군자동 60-6,37.5550509,127.073662
5,군자동 48-14,37.5557023,127.0755034,군자동 159-2,37.5559215,127.0734469
4,군자동 49-9,37.5558538,127.0759026,군자동 51-24,37.5553299,127.0766259
5,군자동 48-9,37.5561363,127.0757374,군자동 161-1,37.5559822,127.0732631
6,군자동 470-9,37.5566539,127.0762913,군자동 470-17,37.556036,127.0767029
