,교량명,시도명,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도
8624,사당IC교(성산방향),서울특별시,37.470461,126.989283,37.469938,126.982704
8625,사당IC교(수서방향),서울특별시,37.469611,126.982795,37.470261,126.989453
8626,선암교(성산방향),서울특별시,37.4606,127.023623,37.462772,127.017622
8627,선암교(수서방향),서울특별시,37.4606,127.023657,37.462484,127.017447
8628,아치울교(사가정),서울특별시,37.576116,127.12458,37.576528,127.123904
8629,아치울교(암사),서울특별시,37.576354,127.123748,37.576054,127.124457
8630,장자천교(사가정방향),서울특별시,37.574944,127.126289,37.575783,127.12513
8631,장자천교(암사방향),서울특별시,37.575653,127.124971,37.574922,127.126085
8632,선암고가교,서울특별시,37.459519,127.020599,37.460788,127.019995
8641,동부간선진출램프교,서울특별시,37.4851,127.108946,37.480885,127.11232
8642,진입로C,서울특별시,37.509527,126.861631,37.510731,126.860908
8643,신정양천 정문 진입로,서울특별시,37.510542,126.867095,37.509344,126.864991
8644,신정양천 중문 진입로,서울특별시,37.509491,126.865073,37.510538,126.866835
8645,신정양천 후문진입로,서울특별시,37.511897,126.863926,37.511129,126.862152
8646,탄천우안 진출램프,서울특별시,37.484082,127.113456,37.480881,127.116142
8647,잠수교,서울특별시,37.511568,126.998013,37.517933,126.994923
8648,신영교,서울특별시,37.601751,126.961129,37.601713,126.961599
8649,평창3교,서울특별시,37.613385,126.977736,37.613419,126.977954
